[Fri Apr 28 11:56:30.442543 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$photo in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 117, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442590 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$personal in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 121, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442608 2023] [php7:warn] [pid 24947] [client 10.10.0.24:42524] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 121, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442621 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$jobs in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 125, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442633 2023] [php7:warn] [pid 24947] [client 10.10.0.24:42524] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 125, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442645 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$educs in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 130, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442656 2023] [php7:warn] [pid 24947] [client 10.10.0.24:42524] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 130, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442681 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$character in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 135, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442694 2023] [php7:warn] [pid 24947] [client 10.10.0.24:42524] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 135, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442706 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$skills in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 139, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442717 2023] [php7:warn] [pid 24947] [client 10.10.0.24:42524] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 139, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442729 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$phone in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442742 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442754 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$phone in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442766 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442777 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$email in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442789 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442800 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$email in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442812 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 144, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442824 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$site in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442835 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442847 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$site in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442859 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 145, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442876 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$tg in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442888 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442900 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$tg in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442912 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 146, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442924 2023] [php7:notice] [pid 24947] [client 10.10.0.24:42524] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$lates in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 149, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 11:56:30.442935 2023] [php7:warn] [pid 24947] [client 10.10.0.24:42524] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 149, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404096 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$photo in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 117, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404146 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$personal in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 121, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404165 2023] [php7:warn] [pid 24946] [client 10.10.0.24:43144] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 121, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404178 2023] [php7:notice] [pid 24946] [client 10.10.0.24:43144] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$jobs in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 125, referer: https://b24-ktafz3.bitrix24.ru/
[Fri Apr 28 12:01:59.404190 2023] [php7:warn] [pid 24946] [client 10.10.0.24:43144] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 125, referer: https://b24-ktafz3.bitrix24.ru/
